snr_db,pe,ber,se,sinr_db,crlb_R,crlb_v,type
-6.0,0.01342757153469194,0.3026464262393939,0.19768516436082464,-5.254523797395711,2.116295269740696,36.90526070278836,sweep
-6.0,0.0030100807986303867,0.31736594257203354,0.1303850784582463,-7.26189059055359,2.116295269740696,36.90526070278836,sweep
-6.0,0.031031976089294047,0.31135148231070686,0.1566350400446759,-6.3876477896756265,2.116295269740696,36.90526070278836,sweep
-6.0,0.006165978234092287,0.2980839064524986,0.22049017539901145,-4.711986981844924,2.116295269740696,36.90526070278836,sweep
-6.0,0.009388911683108238,0.31203260186938253,0.15357104894861648,-6.482527422452149,2.116295269740696,36.90526070278836,sweep
-6.0,0.01558291234802581,0.3197967986486816,0.1203131470045635,-7.640710503854491,2.116295269740696,36.90526070278836,sweep
-6.0,0.038564679611767204,0.2973024639467024,0.22447752550942962,-4.622160356151152,2.116295269740696,36.90526070278836,sweep
-6.0,0.0028005025060254566,0.2998007148134624,0.21181218113636713,-4.912431227166111,2.116295269740696,36.90526070278836,sweep
-6.0,0.016990420801612144,0.31589424176588987,0.136636806196323,-7.040042798138768,2.116295269740696,36.90526070278836,sweep
-6.0,0.0034031261908563574,0.3085666941280345,0.1693932836970111,-6.0096868281164175,2.116295269740696,36.90526070278836,sweep
-6.0,0.05411548423900424,0.31209950697335853,0.1532713003321504,-6.491900867298094,2.116295269740696,36.90526070278836,sweep
-6.0,0.026927088090485992,0.3140992768025559,0.14441433271177476,-6.77662994132802,2.116295269740696,36.90526070278836,sweep
-3.0,0.009071356197009143,0.2760774183888704,0.3404176626406904,-2.4607641411052574,1.4982223147250178,26.12692373613661,sweep
-3.0,0.003957896986491775,0.2707677236152325,0.37131036107496984,-1.9880363919348343,1.4982223147250178,26.12692373613661,sweep
-3.0,0.010072848692360954,0.2783082663982339,0.32763152025695663,-2.666371135802672,1.4982223147250178,26.12692373613661,sweep
-3.0,0.0036064220622308383,0.2747574516817448,0.3480386649219931,-2.3411116908478156,1.4982223147250178,26.12692373613661,sweep
-3.0,0.014045512835889147,0.2857031630506303,0.28616826427303604,-3.3808921919758235,1.4982223147250178,26.12692373613661,sweep
-3.0,0.009588918594324538,0.26652658525204975,0.3964087759995454,-1.6259664863377927,1.4982223147250178,26.12692373613661,sweep
-3.0,0.0019507532375300665,0.2711756762031121,0.3689151464311407,-2.0235662221977746,1.4982223147250178,26.12692373613661,sweep
